Floc,F_mapid,Sloc,S_mapid,direction,Length
DZM203037,7,DZM198037,7,2,4
DZM198037,7,DZM194037,7,2,4
DZM194037,7,DZM190037,7,2,4
DZM190037,7,DZM186037,7,2,4
DZM186037,7,DZM182037,7,2,4
DZM182037,7,DZM177037,7,2,4
DZM177037,7,DZM173037,7,2,4
DZM173037,7,DZM169037,7,2,4
DZM169037,7,DZM165037,7,2,4
DZM165037,7,DZM161037,7,2,4
DZM161037,7,DZM156037,7,2,4
DZM156037,7,DZM152037,7,2,4
DZM152037,7,DZM148037,7,2,4
DZM148037,7,DZM144037,7,2,4
DZM144037,7,DZM140037,7,2,4
DZM140037,7,DZM135037,7,2,4
DZM135037,7,DZM131037,7,2,4
DZM131037,7,DZM127037,7,2,4
DZM127037,7,DZM123037,7,2,4
DZM123037,7,DZM119037,7,2,4
DZM119037,7,DZM114037,7,2,4
DZM114037,7,DZM110037,7,2,4
DZM110037,7,DZM106037,7,2,4
DZM106037,7,DZM102037,7,2,4
DZM102037,7,DZM098037,7,2,4
DZM098037,7,DZM093037,7,2,4
DZM093037,7,DZM089037,7,2,4
DZM089037,7,DZM085037,7,2,4
DZM085037,7,DZM081037,7,2,4
DZM081037,7,DZM077037,7,2,4
DZM085021,7,DZM089021,7,2,4
DZM089021,7,DZM093021,7,2,4
DZM085025,7,DZM089024,7,2,4
DZM089024,7,DZM093025,7,2,4
DZM085029,7,DZM089029,7,2,4
DZM089029,7,DZM093029,7,2,4
DZM085033,7,DZM089032,7,2,4
DZM089032,7,DZM093033,7,2,4
DZM093021,7,DZM093025,7,2,4
DZM093025,7,DZM093029,7,2,4
DZM093029,7,DZM093033,7,2,4
DZM093033,7,DZM093037,7,2,4
DZM089021,7,DZM089024,7,2,3
DZM089024,7,DZM089029,7,2,5
DZM089029,7,DZM089032,7,2,3
DZM089032,7,DZM089037,7,2,5
DZM085021,7,DZM085025,7,2,4
DZM085025,7,DZM085029,7,2,4
DZM085029,7,DZM085033,7,2,4
DZM085033,7,DZM085037,7,2,4
DZM085037,7,DZM085042,7,2,4
DZM085042,7,DZM085046,7,2,4
