location,mapid,number,X,Y
DZM085021,7,1,84.90002168,20.599
DZM089021,7,2,89.10002168,20.599
DZM093021,7,3,93.30002168,20.599
DZM085025,7,4,84.90002168,24.799
DZM093025,7,5,93.30002168,24.799
DZM085029,7,6,84.90002168,28.999
DZM089029,7,7,89.10002168,28.999
DZM093029,7,8,93.30002168,28.999
DZM085033,7,9,84.90002168,33.199
DZM093033,7,10,93.30002168,33.199
DZM077037,7,11,76.50002168,37.399
DZM085037,7,12,84.90002168,37.399
DZM089037,7,13,89.10002168,37.399
DZM093037,7,14,93.30002168,37.399
DZM098037,7,15,97.50002168,37.399
DZM102037,7,16,101.7000217,37.399
DZM106037,7,17,105.9000217,37.399
DZM110037,7,18,110.1000217,37.399
DZM114037,7,19,114.3000217,37.399
DZM119037,7,20,118.5000217,37.399
DZM123037,7,21,122.7000217,37.399
DZM127037,7,22,126.9000217,37.399
DZM131037,7,23,131.1000217,37.399
DZM135037,7,24,135.3000217,37.399
DZM140037,7,25,139.5000217,37.399
DZM144037,7,26,143.7000217,37.399
DZM148037,7,27,147.9000217,37.399
DZM152037,7,28,152.1000217,37.399
DZM156037,7,29,156.3000217,37.399
DZM161037,7,30,160.5000217,37.399
DZM165037,7,31,164.7000217,37.399
DZM169037,7,32,168.9000217,37.399
DZM173037,7,33,173.1000217,37.399
DZM177037,7,34,177.3000217,37.399
DZM182037,7,35,181.5000217,37.399
DZM186037,7,36,185.7000217,37.399
DZM190037,7,37,189.9000217,37.399
DZM194037,7,38,194.1000217,37.399
DZM198037,7,39,198.3000217,37.399
DZM203037,7,40,202.5000217,37.399
DZM077042,7,41,76.50002168,41.599
DZM085042,7,42,84.90002168,41.599
DZM001045,7,43,1.399999976,45
DZM005045,7,44,5.399999976,45
DZM009045,7,45,9.399999976,45
DZM013045,7,46,13.39999998,45
DZM017045,7,47,17.39999998,45
DZM021045,7,48,21.39999998,45
DZM025045,7,49,25.39999998,45
DZM029045,7,50,29.39999998,45
DZM033045,7,51,33.39999998,45
DZM037045,7,52,37.39999998,45
DZM041045,7,53,41.39999998,45
DZM077046,7,54,76.50002168,45.799
DZM081046,7,55,80.70002168,45.799
DZM085046,7,56,84.90002168,45.799
DZM005050,7,57,5.399999976,50
DZM017050,7,58,17.39999998,50
DZM029050,7,59,29.39999998,50
DZM037050,7,60,37.39999998,50
DZM077050,7,61,76.50002168,49.999
DZM081050,7,62,80.70002168,49.999
DZM085050,7,63,84.90002168,49.999
DZM001055,7,64,1.399999976,55
DZM005055,7,65,5.399999976,55
DZM009055,7,66,9.399999976,55
DZM013055,7,67,13.39999998,55
DZM017055,7,68,17.39999998,55
DZM021055,7,69,21.39999998,55
DZM025055,7,70,25.39999998,55
DZM029055,7,71,29.39999998,55
DZM033055,7,72,33.39999998,55
DZM037055,7,73,37.39999998,55
DZM041055,7,74,41.39999998,55
DZM077054,7,75,76.50002168,54.199
DZM081054,7,76,80.70002168,54.199
DZM085054,7,77,84.90002168,54.199
DZM077058,7,78,76.50002168,58.399
DZM085058,7,79,84.90002168,58.399
DZM005060,7,80,5.399999976,60
DZM017060,7,81,17.39999998,60
DZM029060,7,82,29.39999998,60
DZM041060,7,83,41.39999998,60
DZM077063,7,84,76.50002168,62.599
DZM081063,7,85,80.70002168,62.599
DZM085063,7,86,84.90002168,62.599
DZM001065,7,87,1.399999976,65
DZM005065,7,88,5.399999976,65
DZM009065,7,89,9.399999976,65
DZM013065,7,90,13.39999998,65
DZM017065,7,91,17.39999998,65
DZM021065,7,92,21.39999998,65
DZM025065,7,93,25.39999998,65
DZM029065,7,94,29.39999998,65
DZM033065,7,95,33.39999998,65
DZM037065,7,96,37.39999998,65
DZM041065,7,97,41.39999998,65
DZM045065,7,98,45.39999998,65
DZM049065,7,99,49.39999998,65
DZM053065,7,100,53.39999998,65
DZM057065,7,101,57.39999998,65
DZM061065,7,102,61.39999998,65
DZM065065,7,103,65.39999998,65
DZM071065,7,104,70.80000001,65
DZM077067,7,105,76.50002168,66.799
DZM081067,7,106,80.70002168,66.799
DZM085067,7,107,84.90002168,66.799
DZM005070,7,108,5.399999976,70
DZM017070,7,109,17.39999998,70
DZM027070,7,110,26.72110316,70
DZM034070,7,111,33.60489623,70
DZM043070,7,112,42.5805856,70
DZM053070,7,113,53.39999998,70
DZM065070,7,114,65.39999998,70
DZM077071,7,115,76.50002168,70.999
DZM081071,7,116,80.70002168,70.999
DZM085071,7,117,84.90002168,70.999
DZM001075,7,118,1.399999976,75
DZM005075,7,119,5.399999976,75
DZM009075,7,120,9.399999976,75
DZM013075,7,121,13.39999998,75
DZM017075,7,122,17.39999998,75
DZM021075,7,123,21.39999998,75
DZM025075,7,124,25.39999998,75
DZM029075,7,125,29.39999998,75
DZM033075,7,126,33.39999998,75
DZM037075,7,127,37.39999998,75
DZM041075,7,128,41.39999998,75
DZM045075,7,129,45.39999998,75
DZM049075,7,130,49.39999998,75
DZM053075,7,131,53.39999998,75
DZM057075,7,132,57.39999998,75
DZM061075,7,133,61.39999998,75
DZM065075,7,134,65.39999998,75
DZM077075,7,135,76.50002168,75.199
DZM081075,7,136,80.70002168,75.199
DZM085075,7,137,84.90002168,75.199
DZM077079,7,138,76.50002168,79.399
DZM081079,7,139,80.70002168,79.399
DZM085079,7,140,84.90002168,79.399
DZM062081,7,141,62.04887383,80.75355865
DZM021084,7,142,21.08360365,84.39227344
DZM031084,7,143,30.60109586,84.39227344
DZM041084,7,144,41.43970603,84.39227344
DZM077084,7,145,76.50002168,83.599
DZM081084,7,146,80.70002168,83.599
DZM085084,7,147,84.90002168,83.599
DZM053085,7,148,53.39999998,84.88898461
DZM065087,7,149,64.97540416,87.10799327
DZM077088,7,150,76.50002168,87.799
DZM081088,7,151,80.70002168,87.799
DZM085088,7,152,84.90002168,87.799
DZM054092,7,153,54.3793471,91.64687615
DZM061092,7,154,60.93881099,91.9494684
DZM077092,7,155,76.50002168,91.999
DZM081092,7,156,80.70002168,91.999
DZM085092,7,157,84.90002168,91.999
DZM010095,7,158,9.648825416,95.01002409
DZM041095,7,159,41.43970603,94.94721962
DZM065095,7,160,64.80000001,94.66330332
DZM061096,7,161,60.73714235,96.27952147
DZM077096,7,162,76.50002168,96.199
DZM081096,7,163,80.70002168,96.199
DZM085096,7,164,84.90002168,96.199
DZM021097,7,165,21.08360365,97.35977869
DZM077100,7,166,76.50002168,100.399
DZM081100,7,167,80.70002168,100.399
DZM085100,7,168,84.90002168,100.399
DZM081103,7,169,80.70002168,103.1065765
DZM085103,7,170,84.90002168,103.1065765
DZM089103,7,171,89.10002168,103.1065765
DZM093103,7,172,93.30002168,103.1065765
DZM098103,7,173,97.50002168,103.1065765
DZM102103,7,174,101.7000217,103.1065765
DZM106103,7,175,105.9000217,103.1065765
DZM110103,7,176,110.1000217,103.1065765
