PosiID,MapID,Direction,AP_MAC,RSSI_mode,RSSI_mean,RSSI_median,RSSI_std,RSSI_rank
DZM001040,7,0,0C:DA:41:EA:5C:40,-54,-56,-55,2.484593048,0
DZM001040,7,0,0C:DA:41:EA:5C:70,-91,-91,-91,0.0,0
DZM001040,7,0,0C:DA:41:EA:5D:90,-65,-65,-65,2.615314375,0
DZM001040,7,0,0C:DA:41:EA:5E:90,-91,-87,-88,4.041451884,0
DZM001040,7,0,0C:DA:41:EA:5E:C0,-92,-88,-88,4.509249753,0
DZM001040,7,0,0C:DA:41:EA:5E:E0,-79,-80,-80,2.74933147,0
DZM001040,7,0,0C:DA:41:EA:5F:40,-87,-88,-87,3.046212692,0
DZM001040,7,0,0C:DA:41:EA:5F:70,-81,-81,-81,1.272418021,0
DZM001040,7,0,0C:DA:41:EA:5F:D0,-85,-86,-85,1.78054196,0
DZM001040,7,0,0C:DA:41:EA:5F:E0,-86,-84,-85,2.423371056,0
DZM001040,7,0,0C:DA:41:EA:60:A0,-71,-72,-72,2.252812331,0
DZM001040,7,0,0C:DA:41:EA:64:00,-58,-59,-58,3.256466669,0
DZM001040,7,0,0C:DA:41:EA:64:D0,-61,-60,-60,1.957055278,0
DZM001040,7,0,0C:DA:41:EA:64:F0,-81,-79,-80,3.205109557,0
DZM001040,7,0,38:22:D6:D9:56:F0,-87,-87,-87,0.0,0
DZM001040,7,0,40:16:9F:BE:ED:5E,-87,-85,-84,2.081665999,0
DZM001040,7,0,74:25:8A:60:1C:C0,-89,-88,-87,4.11298756,0
DZM001040,7,0,74:25:8A:60:23:80,-89,-87,-88,1.914854216,0
DZM001040,7,0,74:25:8A:60:23:A0,-86,-87,-86,1.899971081,0
DZM001040,7,0,A8:15:4D:39:98:C6,-94,-94,-94,0.0,0
DZM001040,7,0,A8:57:4E:54:A1:B8,-81,-82,-81,1.767766953,0
DZM001040,7,0,C8:3A:35:4E:35:98,-87,-87,-87,1.732050808,0
DZM001040,7,0,C8:D3:A3:5A:DF:AC,-91,-91,-91,0.0,0
DZM001040,7,0,EC:6C:9F:22:AB:58,-91,-91,-91,0.0,0
DZM001050,7,0,0C:DA:41:EA:5C:40,-60,-60,-60,2.537947295,0
DZM001050,7,0,0C:DA:41:EA:5D:90,-64,-65,-64,3.527205193,0
DZM001050,7,0,0C:DA:41:EA:5E:90,-88,-88,-88,0.0,0
DZM001050,7,0,0C:DA:41:EA:5E:C0,-87,-87,-87,1.632993162,0
DZM001050,7,0,0C:DA:41:EA:5E:E0,-76,-73,-72,3.837352567,0
DZM001050,7,0,0C:DA:41:EA:5F:40,-89,-88,-88,1.858640755,0
DZM001050,7,0,0C:DA:41:EA:5F:70,-86,-84,-84,2.753785274,0
DZM001050,7,0,0C:DA:41:EA:5F:D0,-82,-83,-82,2.217355783,0
DZM001050,7,0,0C:DA:41:EA:60:A0,-76,-76,-75,2.708012802,0
DZM001050,7,0,0C:DA:41:EA:64:00,-61,-59,-59,1.800735144,0
DZM001050,7,0,0C:DA:41:EA:64:D0,-44,-44,-44,2.101975417,0
DZM001050,7,0,0C:DA:41:EA:64:F0,-76,-74,-75,2.305789814,0
DZM001050,7,0,38:22:D6:D9:56:F0,-86,-86,-86,0.0,0
DZM001050,7,0,40:16:9F:BE:ED:5E,-81,-81,-81,1.095445115,0
DZM001050,7,0,74:25:8A:60:1C:C0,-84,-84,-84,2.299758441,0
DZM001050,7,0,74:25:8A:60:23:80,-85,-87,-88,2.50998008,0
DZM001050,7,0,74:25:8A:60:23:A0,-86,-86,-86,3.646916506,0
DZM001050,7,0,74:25:8A:60:24:60,-89,-89,-89,2.516611478,0
DZM001050,7,0,A8:15:4D:39:98:C6,-91,-90,-90,1.527525232,0
DZM001050,7,0,A8:57:4E:54:A1:B8,-86,-83,-82,3.076794869,0
DZM001050,7,0,C8:3A:35:4E:35:98,-84,-85,-84,2.572750983,0
DZM001050,7,0,C8:D3:A3:5A:DF:AC,-87,-87,-87,0.0,0
DZM001050,7,0,E4:D3:32:47:BC:A6,-88,-89,-89,2.121320344,0
